turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2026-02-23 19:00:00+00:00,-1.6,79,957.5,6.37,9.28,9.72,234,240,240,11.5,2026-02-24 00:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-23 20:00:00+00:00,-2.0,74,957.3,5.87,8.82,9.24,224,232,232,10.8,2026-02-24 01:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-23 21:00:00+00:00,-2.2,72,956.8,5.49,8.1,8.48,221,230,230,9.9,2026-02-24 02:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-23 22:00:00+00:00,-2.4,74,956.3,5.24,7.97,8.34,218,227,227,9.2,2026-02-24 03:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-23 23:00:00+00:00,-2.3,75,956.2,5.17,7.75,8.12,218,226,226,8.9,2026-02-24 04:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-24 00:00:00+00:00,-2.1,78,956.2,4.89,7.48,7.84,221,227,227,8.7,2026-02-24 05:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-24 01:00:00+00:00,-1.9,77,956.4,4.76,7.33,7.68,230,234,234,8.2,2026-02-24 06:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-24 02:00:00+00:00,-2.0,75,956.8,4.72,7.27,7.62,234,238,238,8.0,2026-02-24 07:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-24 03:00:00+00:00,-1.7,72,957.2,4.68,6.84,7.16,233,236,236,8.2,2026-02-24 08:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-24 04:00:00+00:00,-1.1,63,957.5,5.08,6.84,7.16,234,236,236,9.2,2026-02-24 09:00:00+05:00,2026-02-23,2026-02-23T23:50:00+05:00,2026-02-23T18:50:00+00:00,2026-02-23T12:00:00+00:00,2026-02-23T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
