turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2026-01-09 19:00:00+00:00,-4.1,50,954.3,1.68,4.73,4.96,100,61,61,2.8,2026-01-10 00:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-09 20:00:00+00:00,-4.3,51,954.1,1.6,4.56,4.77,104,63,63,2.7,2026-01-10 01:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-09 21:00:00+00:00,-4.4,53,953.9,1.7,4.75,4.98,104,64,64,2.8,2026-01-10 02:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-09 22:00:00+00:00,-4.3,53,953.6,1.95,5.17,5.41,103,66,66,3.3,2026-01-10 03:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-09 23:00:00+00:00,-4.3,52,953.4,2.1,5.45,5.71,102,66,66,3.6,2026-01-10 04:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 00:00:00+00:00,-4.4,51,953.5,2.1,5.43,5.69,102,66,66,3.7,2026-01-10 05:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 01:00:00+00:00,-4.6,49,953.6,1.96,5.24,5.49,105,67,67,3.7,2026-01-10 06:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 02:00:00+00:00,-4.7,47,953.9,1.93,5.09,5.33,107,67,67,3.5,2026-01-10 07:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 03:00:00+00:00,-3.8,43,954.5,2.11,5.11,5.35,104,66,66,3.6,2026-01-10 08:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 04:00:00+00:00,-0.7,35,955.4,2.6,5.39,5.65,90,67,67,4.4,2026-01-10 09:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 05:00:00+00:00,2.4,31,956.1,2.82,4.99,5.23,57,63,63,5.6,2026-01-10 10:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 06:00:00+00:00,4.1,28,955.9,3.4,4.74,4.97,49,56,56,6.9,2026-01-10 11:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 07:00:00+00:00,5.2,30,954.9,3.73,4.96,5.19,51,57,57,7.6,2026-01-10 12:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 08:00:00+00:00,5.8,35,954.1,3.79,5.12,5.37,54,58,58,7.7,2026-01-10 13:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 09:00:00+00:00,5.8,39,953.8,3.56,5.05,5.29,56,59,59,7.5,2026-01-10 14:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 10:00:00+00:00,4.6,47,953.6,3.0,5.25,5.5,60,64,64,6.7,2026-01-10 15:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 11:00:00+00:00,1.8,59,953.0,2.21,5.63,5.89,72,65,65,5.1,2026-01-10 16:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,16.166666666666668,23.0,17,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 12:00:00+00:00,0.3,62,952.7,2.39,6.07,6.36,74,67,67,3.7,2026-01-10 17:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,17.166666666666668,24.0,18,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 13:00:00+00:00,0.6,56,953.1,2.74,6.61,6.92,69,66,66,4.5,2026-01-10 18:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,18.166666666666668,25.0,19,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 14:00:00+00:00,0.6,51,953.2,2.83,6.78,7.1,73,68,68,4.9,2026-01-10 19:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,19.166666666666668,26.0,20,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 15:00:00+00:00,0.7,46,953.3,2.79,6.81,7.13,75,66,66,4.8,2026-01-10 20:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,20.166666666666668,27.0,21,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 16:00:00+00:00,0.5,42,953.3,2.63,6.63,6.94,81,65,65,4.8,2026-01-10 21:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,21.166666666666668,28.0,22,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 17:00:00+00:00,0.0,41,953.1,2.55,6.54,6.85,89,62,62,4.5,2026-01-10 22:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,22.166666666666668,29.0,23,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 18:00:00+00:00,-0.6,40,952.6,2.95,6.98,7.31,90,62,62,4.8,2026-01-10 23:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,23.166666666666668,30.0,24,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 19:00:00+00:00,-0.9,39,952.5,3.3,7.45,7.81,90,63,63,5.5,2026-01-11 00:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,24.166666666666668,31.0,25,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 20:00:00+00:00,-1.3,41,952.2,3.25,7.3,7.65,93,63,63,5.5,2026-01-11 01:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,25.166666666666668,32.0,26,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 21:00:00+00:00,-1.7,44,952.1,3.06,7.02,7.35,94,64,64,5.4,2026-01-11 02:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,26.166666666666668,33.0,27,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 22:00:00+00:00,-1.7,45,952.0,2.91,6.69,7.01,95,64,64,5.0,2026-01-11 03:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,27.166666666666668,34.0,28,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-10 23:00:00+00:00,-1.7,46,952.1,3.1,6.97,7.3,93,63,63,5.0,2026-01-11 04:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,28.166666666666668,35.0,29,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-11 00:00:00+00:00,-1.7,46,952.2,3.11,6.89,7.21,94,65,65,5.2,2026-01-11 05:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,29.166666666666668,36.0,30,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-11 01:00:00+00:00,-1.6,46,952.5,3.15,7.08,7.42,90,63,63,5.2,2026-01-11 06:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,30.166666666666668,37.0,31,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-11 02:00:00+00:00,-1.7,46,952.8,2.95,6.78,7.1,93,64,64,5.2,2026-01-11 07:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,31.166666666666668,38.0,32,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-11 03:00:00+00:00,-1.2,43,953.7,3.05,6.65,6.96,93,62,62,4.8,2026-01-11 08:00:00+05:00,2026-01-09,2026-01-09T23:50:00+05:00,2026-01-09T18:50:00+00:00,2026-01-09T12:00:00+00:00,2026-01-09T18:10:00+00:00,32.166666666666664,39.0,33,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
